DATE,RACE,CLASS,RACE NAME,DIST,SURF,STARTER NAME,PP,ODDS,FAVE,FIN,TRAINER,JOCKEY,TIME,PREV RACE,DAYS,SIRE
9/3/2018,3,MSW,,6,Dirt,Southern Phantom,2,6.5,0,5,Eric Guillot,Joel Rosario,01:11.6,SAR 8/11 2,23,Bodemeister
9/3/2018,3,MSW,,6,Dirt,Binary,3,4.6,0,6,"Richard Violette, Jr.","Irad Ortiz, Jr.",01:11.8,SAR 7/21 6,44,Into Mischief
9/3/2018,6,MSW-F,,8.5,Turf,Princesa Carolina,4,6.5,0,1,Kenneth McPeek,"Ricardo Santana, Jr.",01:42.9,SAR 8/12 10,22,Tapit
9/3/2018,6,MSW-F,,8.5,Turf,Toy Moon,7,6.4,0,2,Mark Casse,Julien Leparoux,01:43.0,SAR 8/12 5,22,Malibu Moon
9/3/2018,6,MSW-F,,8.5,Turf,Bacchanalia,9,14.3,0,3,Chad Brown,"Irad Ortiz, Jr.",01:43.4,,,Union Rags
9/3/2018,6,MSW-F,,8.5,Turf,Seventh Planet,1,12.3,0,4,Ralph Nicks,Eric Cancel,01:43.4,SAR 7/22 2,43,Orb
9/3/2018,6,MSW-F,,8.5,Turf,Blue Jean Kitten,3,19.8,0,5,Danny Gargan,Jose Lezcano,01:43.4,,,Kitten's Joy
9/3/2018,6,MSW-F,,8.5,Turf,Seek and Destroy,8,1.75,1,6,Chad Brown,Javier Castellano,01:43.5,SAR 8/5 6,29,Verrazano
9/3/2018,6,MSW-F,,8.5,Turf,Peace Corps,2,14.5,0,7,H. Motion,Jose Ortiz,01:44.1,DEL 8/8 1,26,Violence
9/3/2018,6,MSW-F,,8.5,Turf,Teletype,5,10.3,0,8,William Mott,Junior Alvarado,01:44.6,SAR 8/12 5,22,Data Link
9/3/2018,6,MSW-F,,8.5,Turf,Bambalina,6,5,0,9,James Jerkens,John Velazquez,01:44.7,,,Bernardini
9/3/2018,6,MSW-F,,8.5,Turf,She's a Black Belt,10,15.4,0,10,Michelle Nevin,Manuel Franco,01:44.8,SAR 8/5 6,29,Jimmy Creed
9/3/2018,10,GRD,Hopeful S.,7,Dirt,Mind Control,2,10.1,0,1,Gregory Sacco,John Velazquez,01:23.0,MTH 8/12 3,22,Stay Thirsty
9/3/2018,10,GRD,Hopeful S.,7,Dirt,Mucho,7,1.15,1,2,William Mott,Jose Ortiz,01:23.1,SAR 8/4 7,30,Blame
9/3/2018,10,GRD,Hopeful S.,7,Dirt,Nitrous,3,4.7,0,3,Steven Asmussen,"Ricardo Santana, Jr.",01:23.5,SAR 7/21 6,44,Tapit
9/3/2018,10,GRD,Hopeful S.,7,Dirt,Sombeyay,1,5,0,4,Todd Pletcher,Javier Castellano,01:23.5,SAR 7/21 9,44,Into Mischief
9/3/2018,10,GRD,Hopeful S.,7,Dirt,Dream Maker,5,5.4,0,5,Mark Casse,Julien Leparoux,01:23.7,CD 6/7 1,88,Tapit
9/3/2018,10,GRD,Hopeful S.,7,Dirt,Thatwouldbegrand,4,19,0,6,Dale Capuano,"Irad Ortiz, Jr.",01:24.1,LRL 8/4 5,30,Power Broker
9/3/2018,10,GRD,Hopeful S.,7,Dirt,Backtohisroots,6,58.5,0,7,John Terranova II,Dylan Davis,01:26.1,SAR 7/30 5,35,Mark Valeski
9/3/2018,10,GRD,Hopeful S.,7,Dirt,Derby Date,8,11.9,0,8,D. Lukas,Luis Saez,01:26.1,SAR 8/11 6,23,Will Take Charge
