RACE,DATE,CLASS,DIST,SURF,FIN,STARTER NAME,ODDS,FAV,JOCKEY,TRAINER,SIRE,BR-SIRE,TIME,EQB COMMENT,PREV RACE DATE,PREV TRACK,PREV RACE #,WATCH
1,7/29/2017,MSW,6,D,7,Thunder Mesa,27.25,,"Ricardo Santana, Jr.",Michelle Nevin,Sky Mesa,Dolphin Street (FR),01:13.9,"2w,roused5/16,6p1/8",6/14/2017,BEL,2,
4,7/29/2017,MSW,5.5,T,1,El Dulce,4.8,,John Velazquez,Todd Pletcher,Twirling Candy,The Leopard,01:02.9,"ins pressured, gamely",,,,
4,7/29/2017,MSW,5.5,T,2,Ultima D,3.9,,Jose Ortiz,Wesley Ward,Scat Daddy,Coronado's Quest,01:02.9,"hustled st, repelled",5/19/2017,WO,1,
4,7/29/2017,MSW,5.5,T,3,Midnight Tea Time,18.7,,Rajiv Maragh,H. Graham Motion,Midnight Lute,It's Tea Time,01:03.4,"4w upper, mild kick",,,,Y
4,7/29/2017,MSW,5.5,T,4,Majestic Dunhill,3.7,Y,Manuel Franco,George Weaver,Majesticperfection,Candy Ride (ARG),01:03.5,"pressed 2p, wknd late",7/9/2017,BEL,2,
4,7/29/2017,MSW,5.5,T,5,Chirping,12.7,,Florent Geroux,Thomas Proctor,Violence,Arch,01:03.5,"hit gate st, mild bid",,,,
4,7/29/2017,MSW,5.5,T,6,Triangulate,4.2,,Javier Castellano,Chad Brown,Data Link,Bernardini,01:03.6,"chased 3-2w, one paced",,,,
4,7/29/2017,MSW,5.5,T,7,Johnny Ray,6.5,,Joel Rosario,Wesley Ward,Iqbaal,Stravinsky,01:03.7,"3-2w pursuit, wknd lte",,,,
4,7/29/2017,MSW,5.5,T,8,Beta Max,7.5,,"Irad Ortiz, Jr.",H. Graham Motion,Treasure Beach (GB),Mutakddim,01:03.9,"chased 2p, no response",,,,
4,7/29/2017,MSW,5.5,T,9,Bow Ready,23.4,,Luis Saez,D. Wayne Lukas,Oxbow,More Than Ready,01:04.8,"2-3w uppr, no impact",,,,
5,7/30/2017,MSW-F,6,D,1,Separationofpowers,1.9,Y,Jose Ortiz,Chad Brown,Candy Ride,Empire Maker,01:10.9,"in hand 2p, went clear",,,,
5,7/30/2017,MSW-F,6,D,2,Dancing,6.3,,Julien Leparoux,Mark Casse,Bernardini,Kingmambo,01:12.8,"brush gate, no match",6/29/2017,CD,1,
5,7/30/2017,MSW-F,6,D,3,Fortune Street,12.6,,Junior Alvarado,Mark Hennig,Bellamy Road,Rahy,01:13.2,"4w upper, improved",6/29/2017,BEL,3,
5,7/30/2017,MSW-F,6,D,4,Memorial Drive,12.6,,Florent Geroux,Steven Asmussen,Smart Strike,Dixie Union,01:13.4,"3w pursuit, weakened",,,,
5,7/30/2017,MSW-F,6,D,5,Party Club,6.4,,Luis Reyes,D. Wayne Lukas,Sky Mesa,Petionville,01:13.6,"bumped st, tired",7/2/2017,ELP,7,
5,7/30/2017,MSW-F,6,D,6,Radiant Beauty,5.4,,"Irad Ortiz, Jr.",Rudy Rodriguez,Orb,Mizzen Mast,01:14.1,"bobbled st, tired",6/29/2017,BEL,3,
5,7/30/2017,MSW-F,6,D,7,We Are Family,20.8,,Manuel Franco,Michelle Nevin,Into Mischief,Tiznow,01:14.9,"bumped st, 5w upper",,,,
5,7/30/2017,MSW-F,6,D,8,Scary Not Scared,3.3,,"Ricardo Santana, Jr.",Horacio DePaz,Malibu Moon,Elusive Quality,01:16.2,"4w pursuit, faltered",,,,
4,7/31/2017,MCL,5.5,D,1,Joopster,2.35,Y,"Irad Ortiz, Jr.",Wesley Ward,Mineshaft,Medaglia d'Oro,01:05.8,"in hand 2p, edged away",,,,
4,7/31/2017,MCL,5.5,D,2,The Berber,12.9,,Paco Lopez,Gary Contessa,Friesan Fire,Not for Love,01:06.1,"3-4w uppr, mild kick",,,,
4,7/31/2017,MCL,5.5,D,3,Shane's Jewel,2.65,,Kendrick Carmouche,John Servis,Eskendereya,Speightstown,01:06.4,"3w upper, wknd late",7/14/2017,MTH,3,
4,7/31/2017,MCL,5.5,D,4,Nate Can't Wait,22.8,,Luis Reyes,Dominick Schettino,Mission Impazible,Hold That Tiger,01:07.0,"3w upper, mild bid",,,,
4,7/31/2017,MCL,5.5,D,5,Tom's Music,8.6,,Joel Rosario,D. Wayne Lukas,Midnight Lute,Alydeed,01:07.6,"steadied st, by tired",,,,
4,7/31/2017,MCL,5.5,D,6,Factor This,9.9,,Angel Arroyo,Edward Barker,The Factor,Singspiel (IRE),01:07.8,"bmp after st,no impact",,,,
4,7/31/2017,MCL,5.5,D,7,Day of Reckoning,3.45,,John Velazquez,Wesley Ward,Shanghai Bobby,Unbridled's Song,01:09.2,"chased 3-4w, tired",,,,
4,7/31/2017,MCL,5.5,D,8,Nothings Changed,9.8,,Luis Saez,Merrill Scherer,Street Boss,Boundary,01:12.8,"chased 2-3w, folded",6/29/2017,EVD,1,
10,8/2/2017,MSW-F-NY,5.5,T,1,March X Press,5.2,,Jose Ortiz,Todd Pletcher,Shanghai Bobby,Indian Charlie,01:03.1,"hit gate,4w,alter late",,,,
10,8/2/2017,MSW-F-NY,5.5,T,2,New Pass,7.6,,Joel Rosario,Thomas Bush,Point of Entry,Brahms,01:03.1,"3w3/8,bid upr,nip late",,,,
10,8/2/2017,MSW-F-NY,5.5,T,3,Codrington,20.8,,Manuel Franco,David Donk,Courageous Cat,Fappie's Notebook,01:03.4,"pinch brk,ins,4w upper",7/13/2017,BEL,8,
10,8/2/2017,MSW-F-NY,5.5,T,4,Carrera Cat,11.9,,Kendrick Carmouche,John Morrison,Courageous Cat,Mineshaft,01:03.5,"ins run,push in 1/8pl",,,,
10,8/2/2017,MSW-F-NY,5.5,T,5,Imperfect Union,3.1,,Javier Castellano,Thomas Morley,Bluegrass Cat,Defer,01:03.6,"2w 1/2,4p5/16,flat",7/1/2017,BEL,4,
10,8/2/2017,MSW-F-NY,5.5,T,6,Purely Lucky,2.2,Y,Florent Geroux,Brad Cox,Lookin at Lucky,In Excess (IRE),01:03.8,urge 2w into lane,,,,
10,8/2/2017,MSW-F-NY,5.5,T,7,Unparalleled,25.75,,Dylan Davis,Bruce Brown,Line of David,High Yield,01:03.9,"ins,rank,got out 2w3/8",,,,
10,8/2/2017,MSW-F-NY,5.5,T,8,Silverado Mist,8.7,,Jose Lezcano,William Mott,Data Link,Lear Fan,01:04.1,"ins,test 3/16,gave in",,,,
10,8/2/2017,MSW-F-NY,5.5,T,9,Dats Her,11.4,,Angel Arroyo,Russell Cash,Daaher,Private Interview,01:04.2,"2w,5w into lane,empty",,,,
10,8/2/2017,MSW-F-NY,5.5,T,10,Reyana Reya Dreams,47.75,,"Hector Diaz, Jr.",Randi Persaud,Yes It's True,Signal Tap,01:05.3,"3-4w turn, tired",7/26/2017,SAR,5,
5,8/2/2017,MCL-F,5.5,D,1,Tarawa,15.1,,Dylan Davis,David Duggan,Field Commission,Greatness,01:04.6,"bmpd soundly brk,2p",6/16/2017,BEL,6,
5,8/2/2017,MCL-F,5.5,D,2,Mad Dog Matters,2.35,,"Irad Ortiz, Jr.",Rudy Rodriguez,Mineshaft,Unbridled's Song,01:05.5,"3-4w turn,up for 2nd",,,,
5,8/2/2017,MCL-F,5.5,D,3,In the Mood,6,,John Velazquez,Wesley Ward,Eskendereya,Kitten's Joy,01:05.6,"stmbld brk,bmpd,4-3p",6/28/2017,CD,1,
5,8/2/2017,MCL-F,5.5,D,4,Dreams Are Pazible,2.3,Y,Jose Ortiz,Todd Pletcher,Mission Impazible,Big Brown,01:05.6,"bmp brk,tkn up3/8,3w",7/1/2017,BEL,5,
5,8/2/2017,MCL-F,5.5,D,5,Warrior's Silver,26.25,,Chris Landeros,Ian Wilkes,Warrior's Reward,Holy Bull,01:06.2,"no speed,inside turn",,,,
5,8/2/2017,MCL-F,5.5,D,6,Bonnie Scot,10.6,,Joel Rosario,Gary Contessa,Graydar,Awesome Again,01:06.2,"tkn up brk,2-3w turn",,,,
5,8/2/2017,MCL-F,5.5,D,7,Lady Blessings,11.4,,Javier Castellano,Thomas Morley,Shanghai Bobby,Honour and Glory,01:06.8,"inside turn,retreated",,,,
5,8/2/2017,MCL-F,5.5,D,8,Card Club,13,,Eric Cancel,D. Wayne Lukas,Awesome Again,First Samurai,01:07.4,"stumbled brk,bmpd,4-5w",6/24/2017,CD,4,
5,8/2/2017,MCL-F,5.5,D,9,Senza Te,7.6,,Albin Jimenez,Wesley Ward,Street Cry (IRE),Pulpit,01:08.9,"bmpd hard brk,2-3w trn",,,,
4,8/4/2017,MSW-F-NY,6,D,1,Pauseforthecause,1,Y,"Irad Ortiz, Jr.",Kiaran McLaughlin,Giant's Causeway,Touch Gold,01:11.6,"bmpd brk,near ins turn",,,,
4,8/4/2017,MSW-F-NY,6,D,2,Starlite Mission,3.15,,Joel Rosario,Gary Contessa,Mission Impazible,Tale of the Cat,01:11.7,"ins turn,good courage",7/13/2017,BEL,4,
4,8/4/2017,MSW-F-NY,6,D,3,Big Expense,9.7,,Kendrick Carmouche,Dominick Schettino,Mission Impazible,Abaginone,01:12.6,"outside,3p turn,tired",,,,
4,8/4/2017,MSW-F-NY,6,D,4,Cartwheel,4.5,,Junior Alvarado,Mark Hennig,Flatter,Elusive Quality,01:12.6,"outside,4w trn,no kick",7/13/2017,BEL,4,
4,8/4/2017,MSW-F-NY,6,D,5,My Roxy Girl,5.9,,Javier Castellano,Mitchell Friedman,Emcee,City Zip,01:12.9,"bmp brk,2-3w trn,empty",7/13/2017,BEL,4,
4,8/4/2017,MSW-F-NY,6,D,6,Reyana Reya Delite,54,,"Samuel Camacho, Jr.",Randi Persaud,Utopia (JPN),Afternoon Deelites,01:15.1,"bmpd brk,2path turn",7/27/2017,SAR,5,
4,8/4/2017,MSW-F-NY,6,D,7,Ogan's Runner,49.25,,Abel Lezcano,Eduardo Jones,Here Comes Ben,Mazel Trick,01:19.4,"3path turn, outrun",,,,
4,8/5/2017,MSW,8.5,T,1,Trumpi,22.7,,Junior Alvarado,William Mott,Majestic Warrior,Dynaformer,01:42.1,"ins,ask 3/16p,dug in",,,,
4,8/5/2017,MSW,8.5,T,2,Seabhac,4,,John Velazquez,Todd Pletcher,Scat Daddy,Curlin,01:42.2,"ins,angle late,up plce",,,,
4,8/5/2017,MSW,8.5,T,3,Neepawa,7,,Javier Castellano,Mark Casse,Scat Daddy,Niigon,01:42.2,"2w,btwn foes 2nd,rally",,,,
4,8/5/2017,MSW,8.5,T,4,Strong Current,5.5,,Luis Saez,Joe Sharp,Orb,Vicar,01:42.4,"ins,rank 1st,2w upper",6/28/2017,CD,4,
4,8/5/2017,MSW,8.5,T,5,He Takes Charge,12.9,,Manuel Franco,Mark Casse,Tapit,Storm Cat,01:42.8,"3w 2nd,ask 3/8,5p 1/8",,,,
4,8/5/2017,MSW,8.5,T,6,Eclipsed Moon,3.1,Y,"Irad Ortiz, Jr.",Kenneth McPeek,Malibu Moon,Dehere,01:43.2,"lite bmp brk,3-4w trns",7/4/2017,ELP,5,
4,8/5/2017,MSW,8.5,T,7,Irish Territory (IRE),13,,Joel Rosario,William Mott,Declaration of War,Oasis Dream (GB),01:43.2,"stdied early,green7/16",,,,
4,8/5/2017,MSW,8.5,T,8,Survey (IRE),4,,Florent Geroux,Thomas Proctor,Galileo (IRE),War Front,01:43.4,"3w,brief bid 1/4,tired",7/9/2017,BEL,2,
4,8/5/2017,MSW,8.5,T,9,Sidewinder,49,,Kendrick Carmouche,Dominick Schettino,Rattlesnake Bridge,Victory Speech,01:43.7,"3w 2d,7w lane,no bids",,,,
4,8/5/2017,MSW,8.5,T,10,Monteleone,13.2,,Jose Ortiz,Wesley Ward,Super Saver,Silver Charm,01:44.0,"2w,pull 6F,empty 1/4",,,,
6,8/5/2017,MSW,6,D,1,National Flag,3.1,,John Velazquez,Todd Pletcher,Speightstown,Bernardini,01:10.4,"bmp1/2,4-3w,bmp2x 3/16",7/8/2017,BEL,3,
6,8/5/2017,MSW,6,D,2,Engage,2,Y,Jose Ortiz,Chad Brown,Into Mischief,Speightstown,01:10.5,"bmp1/2,3-2w,bmp2x3/16",,,,
6,8/5/2017,MSW,6,D,3,Slot,12.1,,Javier Castellano,Todd Pletcher,Candy Ride (ARG),Teuflesberg,01:10.9,"3w turn,stdy5/16,4w1/4",,,,
6,8/5/2017,MSW,6,D,4,Arrival,2.95,,Joel Rosario,Mark Casse,Tapit,Thunder Gulch,01:12.2,"off slow,ins-2path trn",6/28/2017,CD,4,
6,8/5/2017,MSW,6,D,5,Mad Munnys,8.3,,Joe Bravo,Kiaran McLaughlin,Munnings,Indian Charlie,01:12.3,"4w turn,3w1/4,empty",7/8/2017,BEL,3,
6,8/5/2017,MSW,6,D,6,Ceevee,8.5,,Paco Lopez,Kelly Breen,Tiznow,Silver Deputy,01:12.7,"ins-2path turn,faded",,,,
6,8/5/2017,MSW,6,D,7,Nanoosh,45.5,,Florent Geroux,D. Wayne Lukas,Paynter,English Channel,01:13.0,"hesitated brk,2-3w trn",,,,
6,8/5/2017,MSW,6,D,8,Nightstrings,38,,Kendrick Carmouche,John Kimmel,Midnight Lute,Forestry,01:13.7,"2p turn,5p into lane",,,,
6,8/5/2017,MSW,6,D,9,Thunder's Honor,30.5,,Manuel Franco,George Weaver,Dialed In,First Samurai,01:14.3,"skimmed rail,stopped",,,,
2,8/6/2017,MSW-F,8.5,T,1,Golden Orb,6,,"Irad Ortiz, Jr.",Christophe Clement,Orb,Victory Gallop,01:42.6,"in at brk,2w,to 5p 1/8",,,,
2,8/6/2017,MSW-F,8.5,T,2,Emmport,4.2,,Florent Geroux,Brad Cox,Exchange Rate,Dynaformer,01:42.6,"ins to 1/4,nail fin 40",,,,
2,8/6/2017,MSW-F,8.5,T,3,Wild and Funny,2.45,,Javier Castellano,Mark Casse,Kitten's Joy,Distorted Humor,01:43.0,"shy bit brk,3w turns",6/24/2017,WO,8,
2,8/6/2017,MSW-F,8.5,T,4,Reality Queen,25.25,,Kendrick Carmouche,Michael Maker,Pioneerof the Nile,Pulpit,01:43.1,"rate ins,led to pst1/8",7/7/2017,ELP,7,
2,8/6/2017,MSW-F,8.5,T,5,Daddy Is a Legend,10.5,,Manuel Franco,George Weaver,Scat Daddy,Benchmark,01:43.2,"hit gate,ins,ask 2nd",,,,
2,8/6/2017,MSW-F,8.5,T,6,Soldat House,68.5,,Eric Cancel,Michael Mareina,Soldat,Chester House,01:43.4,"3w turns,alt rail lane",7/7/2017,BEL,1,
2,8/6/2017,MSW-F,8.5,T,7,Escapade,2.05,Y,Jose Ortiz,Todd Pletcher,More Than Ready,Giant's Causeway,01:43.6,"chase 2w,fan 6p 1/8",6/16/2017,BEL,6,
2,8/6/2017,MSW-F,8.5,T,8,Delta House,33.5,,Jose Lezcano,Gary Contessa,Animal Kingdom,Even the Score,01:43.9,"2w,urge to 4p 5/16",,,,
2,8/6/2017,MSW-F,8.5,T,9,You People,11.6,,Luis Saez,William Mott,Lonhro (AUS),Aldebaran,01:44.7,"2w,stalked unkind 1st",7/23/2017,SAR,1,
2,8/6/2017,MSW-F,8.5,T,10,Lady Margaret,,,Joe Bravo,D. Wayne Lukas,Pioneerof the Nile,Hennessy,,"rear break,non-starter",,,,
6,8/6/2017,MSW-F,5.5,D,1,Honey Graeme,3.35,,Jose Ortiz,"Richard Violette, Jr.",Graeme Hall,Montbrook,01:05.6,"vied 2p, inched away",,,,
6,8/6/2017,MSW-F,5.5,D,2,Quick Quick Quick,7.5,,Julien Leparoux,Ian Wilkes,Tiago,Cape Town,01:05.8,"lunged, brush gate st",,,,
6,8/6/2017,MSW-F,5.5,D,3,Mockery,5.7,,Joel Rosario,Kiaran McLaughlin,Distorted Humor,A.P. Indy,01:05.8,"6w uppr, good finish",,,,
6,8/6/2017,MSW-F,5.5,D,4,Dessert Honeys,13.2,,Javier Castellano,Eddie Kenneally,High Cotton,Trippi,01:06.0,"leapt st, belatedly",,,,
