DATE,RACE,CLASS,RACE NAME,DIST,SURF,STARTER NAME,PP,ODDS,FAVE,FIN,TRAINER,JOCKEY,TIME,PREV RACE,DAYS,SIRE
7/11/2019,8,GRD-F,Schuylerville S.,6,Dirt,His Glory,3,16.2,0,7,Thomas Amoss,Jose Lezcano,01:14.5,IND 6/11 2,30,Mineshaft
7/11/2019,8,GRD-F,Schuylerville S.,6,Dirt,Lady Fatima,6,18.9,0,8,Mark Casse,Dylan Davis,01:15.1,BEL 5/23 1,49,Bodemeister
7/12/2019,5,MSW-F,,5.5,Dirt,Vast,6,12.9,0,1,William Mott,Junior Alvarado,01:04.7,,,Lea
7/12/2019,5,MSW-F,,5.5,Dirt,Good Shabbos,2,2.15,0,2,Jeremiah Englehart,Luis Saez,01:04.7,MTH 6/1 2,41,Munnings
7/12/2019,5,MSW-F,,5.5,Dirt,Pure Wow,7,8.9,0,3,John Terranova II,Dylan Davis,01:04.7,,,The Factor
7/12/2019,5,MSW-F,,5.5,Dirt,Lotta Ott,4,1.3,1,4,Steven Asmussen,"Ricardo Santana, Jr.",01:05.1,,,Tapiture
7/12/2019,5,MSW-F,,5.5,Dirt,Bird Tycoon,5,25,0,5,Ian Wilkes,Julien Leparoux,01:05.5,,,Graydar
7/12/2019,5,MSW-F,,5.5,Dirt,Drop a Hint,3,29,0,6,D. Lukas,Tyler Gaffalione,01:05.7,,,Into Mischief
7/12/2019,5,MSW-F,,5.5,Dirt,Apurate,1,5.2,0,7,Todd Pletcher,John Velazquez,01:05.8,,,Summer Front
7/12/2019,5,MSW-F,,5.5,Dirt,Mylastfirstkiss,8,21.6,0,8,Anthony Quartarolo,Kendrick Carmouche,01:06.0,CD 6/21 1,21,Flatter
7/13/2019,3,GRD,Sanford S.,6,Dirt,By Your Side,5,1.4,1,1,Eddie Kenneally,"Irad Ortiz, Jr.",01:10.2,CD 6/14 1,29,Constitution
7/13/2019,3,GRD,Sanford S.,6,Dirt,Tomato Bill,4,4.6,0,2,Christophe Clement,Kendrick Carmouche,01:10.7,DEL 5/22 1,52,More Than Ready
7/13/2019,3,GRD,Sanford S.,6,Dirt,Raging Whiskey,2,3.35,0,3,Doug O'Neill,Javier Castellano,01:11.0,SA 6/2 2,41,Bourbon Courage
7/13/2019,3,GRD,Sanford S.,6,Dirt,Cucina,3,3.3,0,4,Mark Casse,Tyler Gaffalione,01:11.0,BEL 6/21 2,22,Northern Afleet
7/13/2019,3,GRD,Sanford S.,6,Dirt,Memorable,1,6,0,5,Steven Asmussen,John Velazquez,01:11.9,BEL 6/7 7,36,Uncle Mo
7/13/2019,4,MSW,,5.5,Dirt,Zyramid,6,1.45,1,1,Steven Asmussen,Manuel Franco,01:03.8,CD 6/8 1,35,City Zip
7/13/2019,4,MSW,,5.5,Dirt,Kickin' Kirby,4,19.1,0,2,Nicholas Zito,Tyler Gaffalione,01:04.2,,,Dialed In
7/13/2019,4,MSW,,5.5,Dirt,Peddlers Pride,8,9.7,0,3,William Mott,Junior Alvarado,01:04.6,,,Liam's Map
7/13/2019,4,MSW,,5.5,Dirt,High Tide,1,2.15,0,4,Todd Pletcher,John Velazquez,01:04.9,,,Malibu Moon
7/13/2019,4,MSW,,5.5,Dirt,Hometown Pride,2,30,0,5,Ian Wilkes,Chris Landeros,01:05.0,,,To Honor and Serve
7/13/2019,4,MSW,,5.5,Dirt,Vaya Con Dios,5,11.3,0,6,Eric Guillot,Dylan Davis,01:05.4,,,Majesticperfection
7/13/2019,4,MSW,,5.5,Dirt,Irked,3,7.2,0,7,William Mott,Jose Lezcano,01:05.9,,,War Front
7/13/2019,4,MSW,,5.5,Dirt,Pharoah Cat,7,9.5,0,8,D. Lukas,Rajiv Maragh,01:06.5,CD 6/23 2,20,American Pharoah
7/13/2019,6,MSW,,8.5,Turf,Field Pass,2,2.95,0,1,Michael Maker,Luis Saez,01:45.7,CD 6/21 3,22,Lemon Drop Kid
7/13/2019,6,MSW,,8.5,Turf,Decorated Invader,1,5.3,0,2,Christophe Clement,"Irad Ortiz, Jr.",01:45.9,,,Declaration of War
7/13/2019,6,MSW,,8.5,Turf,Mr Jaggers,7,2.35,1,3,William Mott,Junior Alvarado,01:46.1,,,Twirling Candy
7/13/2019,6,MSW,,8.5,Turf,Our Country,4,12.1,0,4,George Weaver,Manuel Franco,01:46.2,,,Constitution
7/13/2019,6,MSW,,8.5,Turf,Enforceable,3,6.5,0,5,Mark Casse,Tyler Gaffalione,01:46.4,CD 5/31 5,43,Tapit
7/13/2019,6,MSW,,8.5,Turf,Cardiac Kid,9,17.8,0,6,Kenneth McPeek,Jose Lezcano,01:46.6,,,American Pharoah
7/13/2019,6,MSW,,8.5,Turf,Kokokomo,6,10.4,0,7,Todd Pletcher,Javier Castellano,01:46.6,BEL 6/21 7,22,Uncle Mo
7/13/2019,6,MSW,,8.5,Turf,Mr Everything,5,12.2,0,8,Wesley Ward,John Velazquez,01:46.6,GP 6/23 12,20,Mr Speaker
7/13/2019,6,MSW,,8.5,Turf,Cloudbased,8,16,0,9,Claude McGaughey III,Dylan Davis,01:48.2,BEL 6/21 7,22,Orb
7/14/2019,1,MSW-F,,8.5,Turf,Sweet Melania,7,1.6,1,1,Todd Pletcher,Jose Ortiz,01:45.9,MTH 6/1 2,43,American Pharoah
7/14/2019,1,MSW-F,,8.5,Turf,Morning Gold,8,10.4,0,2,Kenneth McPeek,Dylan Davis,01:46.1,,,Morning Line
7/14/2019,1,MSW-F,,8.5,Turf,Lucky Jingle,1,8.8,0,3,H. Motion,Rajiv Maragh,01:46.9,,,Tonalist
7/14/2019,1,MSW-F,,8.5,Turf,Pearlescent,2,4.1,0,4,William Mott,Junior Alvarado,01:47.1,,,The Factor
7/14/2019,1,MSW-F,,8.5,Turf,Days of Spring,3,6.4,0,5,Todd Pletcher,Manuel Franco,01:47.2,BEL 5/23 1,52,Uncle Mo
7/14/2019,1,MSW-F,,8.5,Turf,Miss Marissa,5,4.6,0,6,James Ryerson,Luis Saez,01:47.3,BEL 6/20 5,24,He's Had Enough
7/14/2019,1,MSW-F,,8.5,Turf,Foreign Exchange,4,28.75,0,7,D. Lukas,Joel Rosario,01:47.4,,,Congrats
7/14/2019,1,MSW-F,,8.5,Turf,Sign of the Times,6,11.2,0,8,Wesley Ward,"Irad Ortiz, Jr.",01:48.5,GP 6/22 8,22,Animal Kingdom
7/14/2019,4,MSW-NY,,5.5,Dirt,Bank On Shea,4,2.55,0,1,Jason Servis,"Irad Ortiz, Jr.",01:04.0,,,Central Banker
7/14/2019,4,MSW-NY,,5.5,Dirt,Blame the Cake,2,14.9,0,2,Ian Wilkes,Javier Castellano,01:04.1,,,Blame
7/14/2019,4,MSW-NY,,5.5,Dirt,Macho Boy,3,9,0,3,Gary Contessa,Joel Rosario,01:04.9,,,Mucho Macho Man
7/14/2019,4,MSW-NY,,5.5,Dirt,South Africa,7,6.9,0,4,Michelle Nevin,Jose Ortiz,01:05.1,,,Will Take Charge
7/14/2019,4,MSW-NY,,5.5,Dirt,Kobe,6,33.5,0,5,Gary Contessa,Chris Landeros,01:05.4,,,Japan
7/14/2019,4,MSW-NY,,5.5,Dirt,Titan's Will,1,8.1,0,6,Jeremiah Englehart,Luis Saez,01:06.7,,,Congrats
7/14/2019,4,MSW-NY,,5.5,Dirt,Our Destiny,5,7.8,0,7,Joseph Parker,Joey Martinez,01:07.3,BEL 5/31 2,44,Freud
7/14/2019,4,MSW-NY,,5.5,Dirt,No Salt,8,1.65,1,8,William Mott,Junior Alvarado,01:08.3,,,Tonalist
7/17/2019,2,STK-NY,Rick Violette S.,6,Dirt,Sky of Hook,4,9.3,0,1,Rudy Rodriguez,Luis Saez,01:13.2,BEL 5/10 5,68,Tapiture
7/17/2019,2,STK-NY,Rick Violette S.,6,Dirt,Listentoyourheart,2,2.25,0,2,Christophe Clement,Manuel Franco,01:13.2,BEL 6/23 6,24,Afleet Alex
7/17/2019,2,STK-NY,Rick Violette S.,6,Dirt,Theitalianamerican,1,2.85,0,3,Gary Contessa,Joel Rosario,01:14.0,BEL 6/7 7,40,Girolamo
7/17/2019,2,STK-NY,Rick Violette S.,6,Dirt,Mission Wrapitup,3,1.35,1,4,Bruce Brown,Dylan Davis,01:14.1,BEL 5/31 2,47,Mission Impazible
7/17/2019,2,STAKES,Rick Violette S.,6,Dirt,Torres Del Paine,5,7.9,0,5,H. Motion,Weston Hamilton,01:15.3,LRL 6/28 6,19,Karakontie
7/17/2019,5,MSW-F,,5.5,Dirt,Just Fly,5,2.1,1,1,Joe Sharp,Luis Saez,01:05.2,CD 6/20 4,27,Justin Phillip
7/17/2019,5,MSW-F,,5.5,Dirt,Ain't None Lucky,1,6.8,0,2,Lacey Gaudet,Johan Rosado,01:06.0,LRL 6/14 1,33,Candy Ride (ARG)
7/17/2019,5,MSW-F,,5.5,Dirt,Project Whiskey,4,8.4,0,3,"Robert Reid, Jr.",Kendrick Carmouche,01:06.0,,,Tapizar
7/17/2019,5,MSW-F,,5.5,Dirt,Double Down Dare,3,4.1,0,4,Steve Klesaris,Jose Lezcano,01:06.1,PRX 6/24 1,23,Cross Traffic
7/17/2019,5,MSW-F,,5.5,Dirt,Devils Rendezvous,6,8.7,0,5,Gary Contessa,Joel Rosario,01:06.2,,,Daredevil
7/17/2019,5,MSW-F,,5.5,Dirt,Raggedy Annie,7,9.6,0,6,D. Lukas,Tyler Gaffalione,01:06.3,,,Union Rags
7/17/2019,5,MSW-F,,5.5,Dirt,Myawaya,2,3.65,0,7,Todd Pletcher,John Velazquez,01:06.5,,,Wicked Strong
7/17/2019,5,MSW-F,,5.5,Dirt,Gabi's Tuff,8,26.5,0,8,Gary Contessa,Joey Martinez,01:12.0,,,Teuflesberg
7/17/2019,10,MSW-NY-F,,5.5,Dirt,Violent Point,6,1.1,1,1,Mark Casse,John Velazquez,01:05.0,BEL 6/22 4,25,Violence
7/17/2019,10,MSW-NY-F,,5.5,Dirt,Single Verse,3,12.1,0,2,Bruce Brown,Tyler Gaffalione,01:06.0,,,Mineshaft
7/17/2019,10,MSW-NY-F,,5.5,Dirt,Darken a Day,4,5.5,0,3,Gary Contessa,Joel Rosario,01:06.9,,,Emcee
7/17/2019,10,MSW-NY-F,,5.5,Dirt,Light in the Sky,2,3.55,0,4,Linda Rice,Jose Ortiz,01:07.0,,,Tale of the Cat
7/17/2019,10,MSW-NY-F,,5.5,Dirt,American Song,1,4,0,5,Jeremiah Englehart,Junior Alvarado,01:07.2,BEL 6/12 3,35,Maclean's Music
7/17/2019,10,MSW-NY-F,,5.5,Dirt,Apollo's Abraxas,5,13.4,0,6,Kim Laudati,Benjamin Hernandez,01:09.9,BEL 6/30 4,17,Big Brown
7/18/2019,2,MSW,,5.5,Dirt,January Won,3,3.9,0,1,Kenneth McPeek,Jose Ortiz,01:04.3,,,New Year's Day
7/18/2019,2,MSW,,5.5,Dirt,Beyond Gone,1,6.2,0,2,Kenneth McPeek,Julien Leparoux,01:04.5,,,Can the Man
7/18/2019,2,MSW,,5.5,Dirt,Dan the Man Can,2,4.9,0,3,Edward Barker,Manuel Franco,01:04.9,,,Can the Man
7/18/2019,2,MSW,,5.5,Dirt,Justintimeforwine,5,1.6,1,4,Gary Contessa,Joel Rosario,01:05.5,BEL 6/23 6,25,Justin Phillip
7/18/2019,2,MSW,,5.5,Dirt,Jamflowman,6,3.15,0,5,John Terranova II,Dylan Davis,01:05.6,,,Awesome of Course
7/18/2019,2,MSW,,5.5,Dirt,Ninth of April,4,15.3,0,6,Edmund Davis,"Ricardo Santana, Jr.",01:06.8,,,Shanghai Bobby
7/18/2019,3,STK-NY-F,Stillwater S.,6,Dirt,My Italian Rabbi,4,8.9,0,1,Jeremiah Englehart,Luis Saez,01:10.3,BEL 5/30 4,49,Competitive Edge
7/18/2019,3,STK-NY-F,Stillwater S.,6,Dirt,Fierce Lady,2,0.35,1,2,Dermot Magner,Javier Castellano,01:10.3,BEL 6/22 4,26,Competitive Edge
7/18/2019,3,STK-NY-F,Stillwater S.,6,Dirt,Jewel of Arabia,1,5.7,0,3,Christophe Clement,Joel Rosario,01:10.5,,,Daredevil
7/18/2019,3,STK-NY-F,Stillwater S.,6,Dirt,Classy Sadie,3,12.9,0,4,Gary Contessa,Eric Cancel,01:11.1,BEL 6/20 5,28,Emcee
7/18/2019,3,STK-NY-F,Stillwater S.,6,Dirt,Time Limit,5,6.1,0,5,Michael Maker,Jose Ortiz,01:12.8,BEL 6/23 2,25,Bustin Stones
7/18/2019,5,MSW-NY,,5.5,Dirt,City Man,8,1.25,1,1,Christophe Clement,Joel Rosario,01:04.7,,,Mucho Macho Man
7/18/2019,5,MSW-NY,,5.5,Dirt,Shandian,5,6.4,0,2,Gary Contessa,Javier Castellano,01:05.1,BEL 6/21 2,27,Emcee
7/18/2019,5,MSW-NY,,5.5,Dirt,Turbo Drive,1,8.2,0,3,Michael Maker,Jose Ortiz,01:05.3,BEL 6/21 2,27,Teuflesberg
7/18/2019,5,MSW-NY,,5.5,Dirt,Imperio D,6,53,0,4,Rudy Rodriguez,Luis Reyes,01:05.4,,,Frost Giant
7/18/2019,5,MSW-NY,,5.5,Dirt,Fly Fly Away,9,8.1,0,5,Christophe Clement,"Irad Ortiz, Jr.",01:05.6,,,First Samurai
7/18/2019,5,MSW-NY,,5.5,Dirt,Barleewon,4,6.1,0,6,Michael Stidham,John Velazquez,01:05.9,,,Animal Kingdom
7/18/2019,5,MSW-NY,,5.5,Dirt,Diannesimpazible,2,12.3,0,7,Rudy Rodriguez,Manuel Franco,01:06.0,,,Mission Impazible
7/18/2019,5,MSW-NY,,5.5,Dirt,Power Up Paynter,3,6.7,0,8,Linda Rice,Jose Lezcano,01:06.1,,,Paynter
7/18/2019,5,MSW-NY,,5.5,Dirt,Tapizearance,7,23.6,0,9,Gary Contessa,Chris Landeros,01:06.6,,,Tapizar
7/19/2019,5,MSW-F,,6,Dirt,Sweet Kisses,7,2.75,0,1,Jeremiah Englehart,Jose Ortiz,01:09.8,BEL 6/12 3,37,Carpe Diem
7/19/2019,5,MSW-F,,6,Dirt,Finite,5,3.55,0,2,Steven Asmussen,"Ricardo Santana, Jr.",01:10.1,,,Munnings
7/19/2019,5,MSW-F,,6,Dirt,Mrs. Danvers,6,2.6,1,3,Claude McGaughey III,Joel Rosario,01:10.1,,,Tapit
7/19/2019,5,MSW-F,,6,Dirt,Kiawah Sunset,2,4.5,0,4,Wesley Ward,"Irad Ortiz, Jr.",01:10.4,CD 6/20 4,29,Uncle Mo
7/19/2019,5,MSW-F,,6,Dirt,Inveterate,3,5.9,0,5,Dermot Magner,Tyler Gaffalione,01:10.6,,,Palace Malice
7/19/2019,5,MSW-F,,6,Dirt,Cat's Pajamas,1,15.2,0,6,William Mott,Junior Alvarado,01:11.2,,,Street Sense
7/19/2019,5,MSW-F,,6,Dirt,Larry's Baby,4,20.8,0,7,D. Lukas,Luis Saez,01:13.7,,,Majesticperfection
7/21/2019,7,MSW-F,,5.5,Turf,Fly So Pretty,1,5.6,0,1,Mark Casse,Javier Castellano,01:02.9,CD 6/20 4,31,Sky Mesa
7/21/2019,7,MSW-F,,5.5,Turf,Sequin,10,2,1,2,Wesley Ward,Tyler Gaffalione,01:03.0,,,Bayern
7/21/2019,7,MSW-F,,5.5,Turf,Sharing,2,10.1,0,3,H. Motion,Manuel Franco,01:03.0,,,Speightstown
7/21/2019,7,MSW-F,,5.5,Turf,Queen of Shades,8,6.4,0,4,Jason Servis,"Irad Ortiz, Jr.",01:03.1,MTH 6/1 2,50,Midshipman
7/21/2019,7,MSW-F,,5.5,Turf,Giggle Factory,9,65,0,5,Thomas Albertrani,Luis Reyes,01:03.6,,,The Factor
7/21/2019,7,MSW-F,,5.5,Turf,Mom's Pass,7,3.5,0,6,Steven Asmussen,"Ricardo Santana, Jr.",01:03.6,CD 6/20 4,31,Point of Entry
7/21/2019,7,MSW-F,,5.5,Turf,Meritaten,5,4.5,0,7,"Albert Stall, Jr.",Jose Ortiz,01:03.7,,,War Front
7/21/2019,7,MSW-F,,5.5,Turf,Ill Will,6,26.75,0,8,Gary Contessa,Chris Landeros,01:03.7,,,Palace Malice
7/21/2019,7,MSW-F,,5.5,Turf,Miss My Macho,4,65.75,0,9,Katherine Ritvo,Kendrick Carmouche,01:03.7,,,Mucho Macho Man
7/21/2019,7,MSW-F,,5.5,Turf,Crack of Dawn,3,49.5,0,10,Philip Serpe,Junior Alvarado,01:03.8,,,Bernardini
7/21/2019,8,MSW,,6,Dirt,Basin,6,2,0,1,Steven Asmussen,"Ricardo Santana, Jr.",01:09.8,CD 6/14 1,37,Liam's Map
7/21/2019,8,MSW,,6,Dirt,Three Technique,2,1.75,1,2,Jeremiah Englehart,Jose Ortiz,01:10.0,BEL 6/14 5,37,Mr Speaker
7/21/2019,8,MSW,,6,Dirt,Lucky Curlin,10,11.7,0,3,Mark Casse,Tyler Gaffalione,01:11.0,CD 6/14 1,37,Curlin
7/21/2019,8,MSW,,6,Dirt,Mr Thrifty,7,6.8,0,4,"Robert Reid, Jr.",Kendrick Carmouche,01:11.5,PRX 6/25 5,26,Poseidon's Warrior
7/21/2019,8,MSW,,6,Dirt,Eagles Palace,4,23.2,0,5,William Mott,Junior Alvarado,01:11.5,,,Palace Malice
7/21/2019,8,MSW,,6,Dirt,Yankee Empire,3,6.7,0,6,John Kimmel,Chris Landeros,01:11.8,BEL 6/14 5,37,Cairo Prince
7/21/2019,8,MSW,,6,Dirt,American Butterfly,5,20.7,0,7,D. Lukas,Joel Rosario,01:12.2,,,American Pharoah
7/21/2019,8,MSW,,6,Dirt,Excession,9,26,0,8,Steven Asmussen,Manuel Franco,01:12.6,,,Union Rags
7/21/2019,8,MSW,,6,Dirt,Federale,1,51.5,0,9,Philip Gleaves,Dylan Davis,01:12.9,BEL 6/7 7,44,Discreetly Mine
7/21/2019,8,MSW-F,,6,Dirt,He's Super Lucky,8,47.5,0,10,Katherine Ritvo,Rajiv Maragh,01:15.1,,,Super Saver
7/24/2019,3,MSW-NY-F,,7,Dirt,Sky Kitten,5,7.8,0,1,David Donk,Manuel Franco,01:27.0,,,Sky Mesa
7/24/2019,3,MSW-NY-F,,7,Dirt,Jen's Battle,1,2.55,0,2,Gary Contessa,Joel Rosario,01:27.1,BEL 6/23 2,31,Declaration of War
7/24/2019,3,MSW-NY-F,,7,Dirt,Beyond Brown,8,2.4,1,3,David Donk,John Velazquez,01:27.7,BEL 6/22 4,32,Big Brown
7/24/2019,3,MSW-NY-F,,7,Dirt,Adriatic Holiday,6,2.75,0,4,Barclay Tagg,Junior Alvarado,01:27.9,,,Central Banker
7/24/2019,3,MSW-NY-F,,7,Dirt,Dustinthewind,7,39,0,5,Edmund Davis,Heman Harkie,01:28.5,BEL 6/22 4,32,Mission Impazible
7/24/2019,3,MSW-NY-F,,7,Dirt,Lil Morning Star,2,39,0,6,Kim Laudati,Joey Martinez,01:29.0,BEL 6/20 5,34,Central Banker
7/24/2019,3,MSW-NY-F,,7,Dirt,More Than Silver,4,22,0,7,Leah Gyarmati,Rajiv Maragh,01:29.1,,,More Than Ready
7/24/2019,3,MSW-NY-F,,7,Dirt,Mazal Eighteen,3,5.6,0,8,Danny Gargan,Kendrick Carmouche,01:29.3,,,Will Take Charge
7/24/2019,6,MSW,,5.5,Dirt,Another Miracle,1,2.35,0,1,Gary Contessa,Manuel Franco,01:03.3,BEL 7/4 5,20,American Pharoah
7/24/2019,6,MSW,,5.5,Dirt,Irish Mias,2,9.2,0,2,H. Motion,Rajiv Maragh,01:03.5,,,Sky Mesa
7/24/2019,6,MSW,,5.5,Dirt,Close Shave,4,6.7,0,3,H. Motion,John Velazquez,01:03.9,,,Uncle Mo
7/24/2019,6,MSW,,5.5,Dirt,Hemlock,6,0.8,1,4,William Mott,Junior Alvarado,01:04.1,,,Into Mischief
7/24/2019,6,MSW,,5.5,Dirt,Blackberry Wine,3,12.5,0,5,Joe Sharp,Luis Saez,01:05.2,,,Oxbow
7/24/2019,6,MSW,,5.5,Dirt,Shackleford's Joy,5,20.8,0,6,D. Lukas,Luis Reyes,01:06.2,,,Shackleford
7/25/2019,2,MCL-F,,5.5,Dirt,Persian Queen,2,6.1,0,1,Rudy Rodriguez,Luis Saez,01:04.8,,,Union Rags
7/25/2019,2,MCL-F,,5.5,Dirt,Wedontbelieveher,5,1.7,1,2,Rudy Rodriguez,Manuel Franco,01:04.9,,,Bayern
7/25/2019,2,MCL-F,,5.5,Dirt,Stunning Munnings,3,4.1,0,3,Wesley Ward,"Irad Ortiz, Jr.",01:04.9,GP 6/27 6,28,Munnings
7/25/2019,2,MCL-F,,5.5,Dirt,Speed Talks,6,16.7,0,4,Gary Contessa,Kendrick Carmouche,01:05.5,,,Afleet Express
7/25/2019,2,MCL-F,,5.5,Dirt,Polished Copper,4,2.7,0,5,Stanley Hough,Tyler Gaffalione,01:05.9,,,Algorithms
7/25/2019,2,MCL-F,,5.5,Dirt,Wicked Amber,7,33.75,0,6,Randi Persaud,Heman Harkie,01:06.1,,,Ghostzapper
7/25/2019,2,MCL-F,,5.5,Dirt,Mrs. Awesome,1,6.6,0,7,Gary Contessa,Joel Rosario,01:07.0,,,Awesome Again
7/26/2019,2,MSW-NY,,7,Dirt,No Lime,5,9.1,0,1,William Mott,Junior Alvarado,01:28.1,,,Flashback
7/26/2019,2,MSW-NY,,7,Dirt,Mo Ready,4,1,1,2,Todd Pletcher,Jose Ortiz,01:28.1,BEL 5/10 5,77,Uncle Mo
7/26/2019,2,MSW-NY,,7,Dirt,Cold Hard Cash,6,10,0,3,Linda Rice,Jose Lezcano,01:29.1,,,Maclean's Music
7/26/2019,2,MSW-NY,,7,Dirt,Kobe,1,5.1,0,4,Gary Contessa,Luis Saez,01:29.5,SAR 7/14 4,12,Japan
7/26/2019,2,MSW-NY,,7,Dirt,Assault Breaker,7,3.1,0,5,Jonathan Thomas,Javier Castellano,01:29.8,BEL 6/26 6,30,Street Boss
7/26/2019,2,MSW-NY,,7,Dirt,Mitzrayim,3,18.9,0,6,Mark Hennig,Chris Landeros,01:30.8,BEL 6/26 6,30,Cairo Prince
7/26/2019,2,MSW-NY,,7,Dirt,Driftwood,2,16.5,0,7,Kenneth McPeek,Julien Leparoux,01:30.8,,,Courageous Cat
7/27/2019,4,MSW,,5.5,Dirt,Shoplifted,5,0.7,1,1,Steven Asmussen,"Ricardo Santana, Jr.",01:04.0,,,Into Mischief
7/27/2019,4,MSW,,5.5,Dirt,Kowalski,4,3.6,0,2,D. Lukas,Joel Rosario,01:04.7,CD 6/28 4,29,Will Take Charge
7/27/2019,4,MSW,,5.5,Dirt,Complexifier,7,5.4,0,3,Brian Lynch,Luis Saez,01:04.9,,,Overanalyze
7/27/2019,4,MSW,,5.5,Dirt,Soviet,6,0.7,1,4,Todd Pletcher,John Velazquez,01:05.0,,,Super Saver
7/27/2019,4,MSW,,5.5,Dirt,Always Misbehaving,8,8.4,0,5,Danny Gargan,Kendrick Carmouche,01:05.0,,,Into Mischief
7/27/2019,4,MSW,,5.5,Dirt,Leading West,2,38.75,0,6,Joe Sharp,Manuel Franco,01:05.1,,,Distorted Humor
7/27/2019,4,MSW,,5.5,Dirt,Acre,3,15.6,0,7,William Mott,Junior Alvarado,01:05.3,,,Blame
7/27/2019,4,MSW,,5.5,Dirt,Sonneman,9,34,0,8,Mark Hennig,Jose Lezcano,01:05.5,,,Curlin
7/27/2019,4,MSW,,5.5,Dirt,No Bad Days,1,49.5,0,9,Nicholas Zito,Tyler Gaffalione,01:06.1,,,Carpe Diem
7/27/2019,7,MSW,,8.5,Turf,Are You Kitten Me,5,5.1,0,1,Michael Maker,Jose Ortiz,01:44.3,,,Kitten's Joy
7/27/2019,7,MSW,,8.5,Turf,Sul Moon,1,13.5,0,2,William Mott,Junior Alvarado,01:44.3,,,Malibu Moon
7/27/2019,7,MSW,,8.5,Turf,Eagerly,10,2.4,1,3,Todd Pletcher,John Velazquez,01:44.5,,,American Pharoah
7/27/2019,7,MSW,,8.5,Turf,Fame to Famous,8,51.25,0,4,Edmund Davis,Manuel Franco,01:44.6,,,Tapit
7/27/2019,7,MSW,,8.5,Turf,Proven Strategies,4,7.4,0,5,Mark Casse,Tyler Gaffalione,01:44.7,WO 6/29 7,28,Sky Mesa
7/27/2019,7,MSW,,8.5,Turf,Hard Sting,6,7.8,0,6,James Jerkens,Luis Saez,01:45.1,BEL 7/6 5,21,Hard Spun
7/27/2019,7,MSW,,8.5,Turf,Crossing the Moon,9,6.2,0,7,Kenneth McPeek,Dylan Davis,01:45.2,CD 6/28 4,29,Cross Traffic
7/27/2019,7,MSW,,8.5,Turf,Mo and Go,3,18.3,0,8,Jeremiah Englehart,Joel Rosario,01:46.3,,,Uncle Mo
7/27/2019,7,MSW,,8.5,Turf,Blanket of Roses,2,6.4,0,9,Chad Brown,Javier Castellano,01:46.3,,,Lookin at Lucky
7/27/2019,7,MSW,,8.5,Turf,Bye Bye Melvin,7,9.5,0,10,H. Motion,Chris Landeros,01:47.5,,,Uncle Mo
