DATE,RACE,CLASS,RACE NAME,DIST,SURF,STARTER NAME,PP,ODDS,FAVE,FIN,TRAINER,JOCKEY,TIME,PREV RACE,DAYS,SIRE
7/11/2019,5,MSW-NY-F,,5.5,Dirt,Big Q,5,14,0,1,Gary Gullo,Joel Rosario,01:06.9,,,Big Brown
7/11/2019,5,MSW-NY-F,,5.5,Dirt,Impazible Donna,6,2.45,1,2,Bruce Levine,Luis Saez,01:07.0,,,Mission Impazible
7/11/2019,5,MSW-NY-F,,5.5,Dirt,Funfetti,8,2.65,0,3,Jeremiah Englehart,Jose Ortiz,01:07.4,,,Giant Surprise
7/11/2019,5,MSW-NY-F,,5.5,Dirt,Love Me Tomorrow,2,3.85,0,4,Wesley Ward,Dylan Davis,01:07.5,BEL 5/30 4,42,Mineshaft
7/11/2019,5,MSW-NY-F,,5.5,Dirt,Keypit,7,29.5,0,5,Thomas Albertrani,Jose Lezcano,01:09.4,,,Congrats
7/11/2019,5,MSW-NY-F,,5.5,Dirt,Ghostghostghost,3,3.85,0,6,Steven Asmussen,"Ricardo Santana, Jr.",01:09.8,,,Archarcharch
7/11/2019,5,MSW-NY-F,,5.5,Dirt,Rewarded,9,22.2,0,7,Michael Lauer,Manuel Franco,01:09.9,BEL 6/23 2,18,Central Banker
7/11/2019,5,MSW-NY-F,,5.5,Dirt,Time Shift,1,37.5,0,8,Philip Serpe,Eric Cancel,01:10.7,,,Union Rags
7/11/2019,5,MSW-NY-F,,5.5,Dirt,Helen by Night,4,17.7,0,9,Rudy Rodriguez,Javier Castellano,01:14.3,,,Rule by Night
7/11/2019,8,GRD-F,Schuylerville S.,6,Dirt,Comical,5,3.1,0,1,Doug O'Neill,Javier Castellano,01:11.7,SA 5/26 4,46,Into Mischief
7/11/2019,8,GRD-F,Schuylerville S.,6,Dirt,Kiss the Girl,8,3.8,0,2,Todd Pletcher,John Velazquez,01:11.7,BEL 6/12 3,29,Into Mischief
7/11/2019,8,GRD-F,Schuylerville S.,6,Dirt,Shippy,1,1.1,1,3,Doug O'Neill,Jose Ortiz,01:11.8,LRL 6/14 1,27,Midshipman
7/11/2019,8,GRD-F,Schuylerville S.,6,Dirt,Buxom Beast,7,13.2,0,4,Gary Contessa,Joel Rosario,01:12.9,,,The Big Beast
7/11/2019,8,GRD-F,Schuylerville S.,6,Dirt,Integral,2,17.4,0,5,Todd Pletcher,Luis Saez,01:13.0,GP 5/25 3,47,Algorithms
7/11/2019,8,GRD-F,Schuylerville S.,6,Dirt,Lula's Roadrunner,4,28.25,0,6,"Edward Coletti, Jr.",Mychel Sanchez,01:13.4,PRX 6/24 1,17,Uptowncharlybrown
